ID,Title,Link,Difficulty,Paid Only,Status,Slug,Tags
1,Two Sum,https://leetcode.com/problems/two-sum/,EASY,False,TO_DO,two-sum,"Array, Hash Table"
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,MEDIUM,False,TO_DO,add-two-numbers,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,MEDIUM,False,TO_DO,longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,HARD,False,TO_DO,median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,MEDIUM,False,TO_DO,longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,MEDIUM,False,TO_DO,zigzag-conversion,String
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,MEDIUM,False,TO_DO,reverse-integer,Math
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,MEDIUM,False,TO_DO,string-to-integer-atoi,String
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,EASY,False,TO_DO,palindrome-number,Math
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,HARD,False,TO_DO,regular-expression-matching,"String, Dynamic Programming, Recursion"
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,MEDIUM,False,TO_DO,container-with-most-water,"Array, Two Pointers, Greedy"
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,MEDIUM,False,TO_DO,integer-to-roman,"Hash Table, Math, String"
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,EASY,False,TO_DO,roman-to-integer,"Hash Table, Math, String"
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,EASY,False,TO_DO,longest-common-prefix,"Array, String, Trie"
15,3Sum,https://leetcode.com/problems/3sum/,MEDIUM,False,TO_DO,3sum,"Array, Two Pointers, Sorting"
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,MEDIUM,False,TO_DO,3sum-closest,"Array, Two Pointers, Sorting"
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,MEDIUM,False,TO_DO,letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
18,4Sum,https://leetcode.com/problems/4sum/,MEDIUM,False,TO_DO,4sum,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,MEDIUM,False,TO_DO,remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,EASY,False,TO_DO,valid-parentheses,"String, Stack"
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,EASY,False,TO_DO,merge-two-sorted-lists,"Linked List, Recursion"
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,MEDIUM,False,TO_DO,generate-parentheses,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,HARD,False,TO_DO,merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,MEDIUM,False,TO_DO,swap-nodes-in-pairs,"Linked List, Recursion"
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,HARD,False,TO_DO,reverse-nodes-in-k-group,"Linked List, Recursion"
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,EASY,False,TO_DO,remove-duplicates-from-sorted-array,"Array, Two Pointers"
27,Remove Element,https://leetcode.com/problems/remove-element/,EASY,False,TO_DO,remove-element,"Array, Two Pointers"
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,EASY,False,TO_DO,find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,MEDIUM,False,TO_DO,divide-two-integers,"Math, Bit Manipulation"
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,HARD,False,TO_DO,substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
31,Next Permutation,https://leetcode.com/problems/next-permutation/,MEDIUM,False,TO_DO,next-permutation,"Array, Two Pointers"
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,HARD,False,TO_DO,longest-valid-parentheses,"String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,MEDIUM,False,TO_DO,search-in-rotated-sorted-array,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,MEDIUM,False,TO_DO,find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,EASY,False,TO_DO,search-insert-position,"Array, Binary Search"
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,MEDIUM,False,TO_DO,valid-sudoku,"Array, Hash Table, Matrix"
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,HARD,False,TO_DO,sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
38,Count and Say,https://leetcode.com/problems/count-and-say/,MEDIUM,False,TO_DO,count-and-say,String
39,Combination Sum,https://leetcode.com/problems/combination-sum/,MEDIUM,False,TO_DO,combination-sum,"Array, Backtracking"
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,MEDIUM,False,TO_DO,combination-sum-ii,"Array, Backtracking"
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,HARD,False,TO_DO,first-missing-positive,"Array, Hash Table"
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,HARD,False,TO_DO,trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
43,Multiply Strings,https://leetcode.com/problems/multiply-strings/,MEDIUM,False,TO_DO,multiply-strings,"Math, String, Simulation"
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,HARD,False,TO_DO,wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,MEDIUM,False,TO_DO,jump-game-ii,"Array, Dynamic Programming, Greedy"
46,Permutations,https://leetcode.com/problems/permutations/,MEDIUM,False,TO_DO,permutations,"Array, Backtracking"
47,Permutations II,https://leetcode.com/problems/permutations-ii/,MEDIUM,False,TO_DO,permutations-ii,"Array, Backtracking, Sorting"
48,Rotate Image,https://leetcode.com/problems/rotate-image/,MEDIUM,False,TO_DO,rotate-image,"Array, Math, Matrix"
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,MEDIUM,False,TO_DO,group-anagrams,"Array, Hash Table, String, Sorting"
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,MEDIUM,False,TO_DO,powx-n,"Math, Recursion"
51,N-Queens,https://leetcode.com/problems/n-queens/,HARD,False,TO_DO,n-queens,"Array, Backtracking"
52,N-Queens II,https://leetcode.com/problems/n-queens-ii/,HARD,False,TO_DO,n-queens-ii,Backtracking
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,MEDIUM,False,TO_DO,maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,MEDIUM,False,TO_DO,spiral-matrix,"Array, Matrix, Simulation"
55,Jump Game,https://leetcode.com/problems/jump-game/,MEDIUM,False,TO_DO,jump-game,"Array, Dynamic Programming, Greedy"
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,MEDIUM,False,TO_DO,merge-intervals,"Array, Sorting"
57,Insert Interval,https://leetcode.com/problems/insert-interval/,MEDIUM,False,TO_DO,insert-interval,Array
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word/,EASY,False,TO_DO,length-of-last-word,String
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,MEDIUM,False,TO_DO,spiral-matrix-ii,"Array, Matrix, Simulation"
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,HARD,False,TO_DO,permutation-sequence,"Math, Recursion"
61,Rotate List,https://leetcode.com/problems/rotate-list/,MEDIUM,False,TO_DO,rotate-list,"Linked List, Two Pointers"
62,Unique Paths,https://leetcode.com/problems/unique-paths/,MEDIUM,False,TO_DO,unique-paths,"Math, Dynamic Programming, Combinatorics"
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,MEDIUM,False,TO_DO,unique-paths-ii,"Array, Dynamic Programming, Matrix"
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,MEDIUM,False,TO_DO,minimum-path-sum,"Array, Dynamic Programming, Matrix"
65,Valid Number,https://leetcode.com/problems/valid-number/,HARD,False,TO_DO,valid-number,String
66,Plus One,https://leetcode.com/problems/plus-one/,EASY,False,TO_DO,plus-one,"Array, Math"
67,Add Binary,https://leetcode.com/problems/add-binary/,EASY,False,TO_DO,add-binary,"Math, String, Bit Manipulation, Simulation"
