ID,Title,Link,Difficulty,Paid Only,Status,Slug,Description,Hints
4169,Most Common Course Pairs,https://leetcode.com/problems/most-common-course-pairs/,Hard,False,,most-common-course-pairs,Practice problem: Most Common Course Pairs.,No hints available.
4166,Maximum Total Sum with Threshold Constraints,https://leetcode.com/problems/maximum-total-sum-with-threshold-constraints/,Medium,True,,maximum-total-sum-with-threshold-constraints,Practice problem: Maximum Total Sum with Threshold Constraints.,No hints available.
4158,Absolute Difference Between Maximum and Minimum K Elements,https://leetcode.com/problems/absolute-difference-between-maximum-and-minimum-k-elements/,Easy,False,,absolute-difference-between-maximum-and-minimum-k-elements,Practice problem: Absolute Difference Between Maximum and Minimum K Elements.,No hints available.
4157,Reverse Words With Same Vowel Count,https://leetcode.com/problems/reverse-words-with-same-vowel-count/,Medium,False,,reverse-words-with-same-vowel-count,Practice problem: Reverse Words With Same Vowel Count.,No hints available.
4155,Maximum Number of Equal Length Runs,https://leetcode.com/problems/maximum-number-of-equal-length-runs/,Medium,True,,maximum-number-of-equal-length-runs,Practice problem: Maximum Number of Equal Length Runs.,No hints available.
4151,Maximum Subgraph Score in a Tree,https://leetcode.com/problems/maximum-subgraph-score-in-a-tree/,Hard,False,,maximum-subgraph-score-in-a-tree,Practice problem: Maximum Subgraph Score in a Tree.,No hints available.
4150,Sort Integers by Binary Reflection,https://leetcode.com/problems/sort-integers-by-binary-reflection/,Easy,False,,sort-integers-by-binary-reflection,Practice problem: Sort Integers by Binary Reflection.,No hints available.
4148,Convert Number Words to Digits,https://leetcode.com/problems/convert-number-words-to-digits/,Medium,True,,convert-number-words-to-digits,Practice problem: Convert Number Words to Digits.,No hints available.
4146,Total Score of Dungeon Runs,https://leetcode.com/problems/total-score-of-dungeon-runs/,Medium,False,,total-score-of-dungeon-runs,Practice problem: Total Score of Dungeon Runs.,No hints available.
4145,Minimum Inversion Count in Subarrays of Fixed Length,https://leetcode.com/problems/minimum-inversion-count-in-subarrays-of-fixed-length/,Hard,False,,minimum-inversion-count-in-subarrays-of-fixed-length,Practice problem: Minimum Inversion Count in Subarrays of Fixed Length.,No hints available.
4141,Count Elements With at Least K Greater Values,https://leetcode.com/problems/count-elements-with-at-least-k-greater-values/,Medium,False,,count-elements-with-at-least-k-greater-values,Practice problem: Count Elements With at Least K Greater Values.,No hints available.
4140,Evaluate Valid Expressions,https://leetcode.com/problems/evaluate-valid-expressions/,Hard,True,,evaluate-valid-expressions,Practice problem: Evaluate Valid Expressions.,No hints available.
4139,Minimum Absolute Distance Between Mirror Pairs,https://leetcode.com/problems/minimum-absolute-distance-between-mirror-pairs/,Medium,False,,minimum-absolute-distance-between-mirror-pairs,Practice problem: Minimum Absolute Distance Between Mirror Pairs.,No hints available.
